                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.2897,                 1.4056,                 1.1942,                0.63916,                0.38643,                 0.3934,                0.13588,                 2.3254,                 1.3811,                 1.2722,              0.0017941,              0.0017941,              0.0017941
                     55,                 2.2702,                 1.3815,                   1.21,                0.63409,                0.37974,                0.38811,                0.13934,                 2.2686,                 1.3028,                 1.2577,              0.0017901,              0.0017901,              0.0017901
                     56,                 2.2833,                 1.3797,                 1.1943,                0.67528,                0.38992,                0.42513,                0.14792,                 2.3041,                 1.2904,                 1.2676,              0.0017862,              0.0017862,              0.0017862
                     57,                 2.2589,                 1.3779,                 1.1935,                0.60719,                0.38034,                0.37473,                0.12985,                 2.3036,                 1.4587,                 1.2591,              0.0017822,              0.0017822,              0.0017822
                     58,                 2.2575,                 1.3495,                 1.1858,                0.61327,                0.38986,                0.37518,                0.13154,                  2.286,                 1.4978,                 1.2569,              0.0017782,              0.0017782,              0.0017782
                     59,                 2.2628,                 1.3472,                 1.1807,                 0.6573,                0.39977,                0.40971,                0.14223,                 2.3136,                 1.3062,                 1.2732,              0.0017743,              0.0017743,              0.0017743
                     60,                  2.273,                  1.374,                  1.195,                0.64985,                0.39329,                0.41282,                0.14225,                 2.3348,                  1.312,                 1.2806,              0.0017703,              0.0017703,              0.0017703
                     61,                 2.2677,                 1.3644,                 1.1894,                0.65627,                0.39444,                0.41931,                0.14717,                 2.3024,                 1.2567,                 1.2597,              0.0017664,              0.0017664,              0.0017664
                     62,                 2.2492,                 1.3394,                 1.1966,                0.61488,                0.37957,                0.39129,                 0.1385,                 2.3354,                 1.3008,                 1.2879,              0.0017624,              0.0017624,              0.0017624
                     63,                 2.2229,                 1.3375,                 1.2016,                0.67262,                0.39825,                0.41534,                0.14345,                 2.2963,                 1.2851,                 1.2578,              0.0017584,              0.0017584,              0.0017584
                     64,                 2.2401,                 1.3352,                 1.1777,                0.64515,                0.39564,                0.41269,                 0.1456,                 2.3104,                 1.2532,                  1.258,              0.0017545,              0.0017545,              0.0017545
                     65,                 2.2069,                 1.3078,                 1.1924,                0.65842,                 0.3971,                0.41647,                0.14355,                 2.3413,                 1.2685,                 1.2771,              0.0017505,              0.0017505,              0.0017505
                     66,                  2.196,                 1.2855,                 1.1713,                0.67411,                 0.4013,                0.41785,                0.14718,                 2.2979,                 1.2447,                 1.2798,              0.0017466,              0.0017466,              0.0017466
                     67,                 2.1714,                 1.2678,                 1.1814,                0.67799,                0.39405,                0.42056,                 0.1498,                 2.2978,                 1.2462,                 1.2578,              0.0017426,              0.0017426,              0.0017426
                     68,                 2.1601,                 1.2658,                 1.1563,                0.66224,                0.40549,                0.41932,                0.14894,                 2.3032,                 1.2327,                 1.2766,              0.0017386,              0.0017386,              0.0017386
                     69,                 2.1611,                 1.2491,                  1.167,                0.68112,                 0.3872,                0.41992,                0.15155,                 2.3049,                 1.2423,                  1.276,              0.0017347,              0.0017347,              0.0017347
                     70,                 2.1839,                 1.2832,                 1.1677,                 0.6376,                0.40777,                0.39262,                 0.1388,                 2.2713,                 1.2744,                 1.2573,              0.0017307,              0.0017307,              0.0017307
                     71,                 2.1593,                 1.2719,                 1.1623,                0.68828,                0.40091,                0.42873,                0.15172,                 2.3118,                 1.2277,                  1.268,              0.0017268,              0.0017268,              0.0017268
                     72,                 2.1834,                 1.2633,                 1.1628,                0.66905,                0.39984,                0.40822,                0.14147,                 2.2921,                  1.256,                 1.2639,              0.0017228,              0.0017228,              0.0017228
                     73,                 2.1136,                 1.2036,                  1.146,                0.70401,                0.40816,                0.42686,                0.14988,                 2.3179,                 1.2339,                 1.2918,              0.0017188,              0.0017188,              0.0017188
                     74,                 2.1465,                 1.2335,                 1.1513,                0.67404,                0.40348,                0.43067,                0.15325,                 2.3079,                 1.1979,                 1.2891,              0.0017149,              0.0017149,              0.0017149
                     75,                 2.1185,                 1.2242,                 1.1656,                0.67547,                0.41997,                0.43169,                0.15312,                 2.2651,                 1.2005,                 1.2544,              0.0017109,              0.0017109,              0.0017109
                     76,                 2.1377,                 1.2087,                 1.1493,                0.65354,                0.41387,                0.43042,                0.15609,                 2.2788,                 1.2015,                 1.2716,               0.001707,               0.001707,               0.001707
                     77,                  2.155,                 1.2307,                 1.1599,                0.69839,                0.40063,                0.42905,                0.15346,                  2.314,                 1.1729,                 1.2822,               0.001703,               0.001703,               0.001703
                     78,                 2.1288,                 1.2155,                 1.1445,                 0.6814,                0.40591,                0.41808,                0.14492,                 2.3231,                 1.1841,                 1.2914,               0.001699,               0.001699,               0.001699
                     79,                 2.1136,                 1.1944,                 1.1439,                0.68658,                0.39291,                0.41314,                0.14558,                 2.3216,                 1.2377,                 1.2817,              0.0016951,              0.0016951,              0.0016951
                     80,                 2.1258,                 1.2125,                 1.1389,                0.66032,                0.41425,                0.40645,                0.13752,                 2.3589,                 1.3188,                 1.2848,              0.0016911,              0.0016911,              0.0016911
                     81,                 2.1047,                 1.2154,                 1.1446,                0.67219,                0.39855,                0.41224,                0.14474,                 2.3257,                 1.2396,                 1.2799,              0.0016872,              0.0016872,              0.0016872
                     82,                 2.1069,                 1.1922,                 1.1364,                0.66192,                0.40473,                0.42004,                0.14816,                 2.3142,                 1.2091,                 1.2784,              0.0016832,              0.0016832,              0.0016832
